,metascore_rating
0,59
1,0
2,49
3,49
4,44
5,47
6,64
7,57
8,60
9,63
10,54
11,60
12,58
13,51
14,47
15,61
16,47
17,51
18,0
19,47
20,48
21,63
22,33
23,41
24,36
25,48
26,52
27,52
28,47
29,37
30,44
31,54
32,63
33,40
34,58
35,56
36,71
37,46
38,64
39,63
40,81
41,44
42,45
43,60
44,48
45,36
46,0
47,68
48,59
49,52
50,0
51,47
52,40
53,36
54,0
55,63
56,33
57,66
58,66
59,58
60,49
61,72
62,55
63,44
64,50
65,61
66,63
67,81
68,51
69,49
70,47
71,74
72,44
73,39
74,49
75,64
76,65
77,56
78,61
79,62
80,51
81,48
82,45
83,55
84,52
85,74
86,68
87,63
88,37
89,59
90,45
91,68
92,60
93,54
94,30
95,58
96,43
97,67
98,53
99,41
100,35
101,45
102,40
103,58
104,60
105,62
106,76
107,58
108,33
109,37
110,65
111,51
112,61
113,44
114,46
115,63
116,44
117,80
118,37
119,64
120,44
121,51
122,49
123,57
124,45
125,49
126,36
127,55
128,63
129,56
130,37
131,31
132,71
133,42
134,51
135,73
136,58
137,28
138,66
139,47
140,55
141,67
142,58
143,47
144,62
145,53
146,52
147,47
148,0
149,48
150,65
151,56
152,51
153,29
154,62
155,46
156,52
157,51
158,71
159,47
160,0
161,48
162,60
163,34
164,35
165,52
166,56
167,49
168,45
169,57
170,57
171,53
172,47
173,63
174,58
175,48
176,52
177,45
178,60
179,66
180,47
181,54
182,62
183,48
184,45
185,64
186,77
187,25
188,64
189,33
190,47
191,64
192,33
193,56
194,26
195,71
196,52
197,58
198,48
199,51
200,43
201,45
202,52
203,59
204,52
205,55
206,40
207,48
208,47
209,48
210,59
211,49
212,60
213,42
214,45
215,45
216,49
217,54
218,47
219,57
220,41
221,61
222,53
223,71
224,64
225,35
226,36
227,70
228,68
229,60
230,41
231,52
232,0
233,58
234,62
235,50
236,55
237,0
238,48
239,16
240,45
241,63
242,0
243,64
244,49
245,43
246,44
247,45
248,63
249,57
250,59
251,49
252,69
253,65
254,67
255,32
256,41
257,52
258,63
259,50
260,74
261,49
262,35
263,22
264,26
265,30
266,59
267,53
268,41
269,70
270,61
271,22
272,48
273,41
274,58
275,44
276,66
277,0
278,63
279,60
280,37
281,68
282,53
283,42
284,69
285,58
286,62
287,70
288,57
289,57
290,77
291,29
292,79
293,54
294,61
295,54
296,0
297,46
298,58
299,50
300,19
301,63
302,59
303,43
304,50
305,51
306,65
307,66
308,51
309,55
310,49
311,51
312,36
313,32
314,48
315,42
316,38
317,50
318,48
319,49
320,38
321,52
322,60
323,30
324,50
325,42
326,40
327,0
328,44
329,68
330,43
331,46
332,54
333,24
334,77
335,45
336,46
337,32
338,52
339,52
340,46
341,71
342,44
343,31
344,56
345,54
346,65
347,39
348,52
349,39
350,42
351,70
352,61
353,14
354,67
355,45
356,48
357,48
358,38
359,74
360,28
361,51
362,24
363,56
364,61
365,61
366,27
367,0
368,61
369,65
370,52
371,0
372,60
373,34
374,51
375,68
376,57
377,56
378,31
379,42
380,0
381,32
382,60
383,45
384,46
385,54
386,43
387,45
388,53
389,0
390,58
391,40
392,43
393,52
394,42
395,46
396,0
397,50
398,44
399,72
400,35
401,45
402,43
403,64
404,43
405,50
406,68
407,53
408,54
409,56
410,44
411,53
412,38
413,59
414,56
415,44
416,46
417,43
418,43
419,53
420,43
421,52
422,57
423,52
424,66
425,41
426,46
427,29
428,38
429,38
430,49
431,45
432,23
433,43
434,54
435,35
436,66
437,57
438,46
439,39
440,54
441,31
442,46
443,41
444,59
445,50
446,64
447,51
448,45
449,0
450,56
451,0
452,46
453,0
454,34
455,45
456,0
457,56
458,0
459,39
460,48
461,35
462,56
463,60
464,46
465,60
466,46
467,56
468,40
469,42
470,71
471,71
472,56
473,58
474,28
475,66
476,64
477,45
478,69
479,64
480,49
481,57
482,48
483,60
484,47
485,42
486,62
487,39
488,67
489,54
490,0
491,45
492,57
493,70
494,51
495,78
496,70
497,60
498,38
499,74
500,39
501,65
502,57
503,49
504,46
505,56
506,71
507,46
508,47
509,61
510,44
511,68
512,75
513,42
514,42
515,38
516,47
517,34
518,69
519,27
520,69
521,55
522,39
523,40
524,42
525,40
526,67
527,37
528,69
529,33
530,57
531,66
532,51
533,45
534,42
535,43
536,31
537,49
538,64
539,59
540,36
541,54
542,0
543,52
544,42
545,54
546,51
547,0
548,50
549,41
550,42
551,43
552,51
553,44
554,0
555,52
556,48
557,49
558,54
559,38
560,52
561,57
562,56
563,62
564,45
565,61
566,69
567,45
568,41
569,55
570,53
571,55
572,53
573,59
574,50
575,63
576,44
577,49
578,47
579,32
580,50
581,45
582,44
583,49
584,25
585,35
586,47
587,36
588,0
589,48
590,46
591,39
592,47
593,0
594,59
595,40
596,48
597,34
598,41
599,54
